               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,              0.1004,             0.11302,             0.02485,             0.43746,             0.32352,              0.3213,             0.16864,            0.096563,             0.11105,             0.03063,           0.0090557,           0.0090557,           0.0090557
                  65,             0.10003,             0.11212,            0.024845,             0.44209,              0.3217,             0.32249,             0.16956,            0.096535,             0.11088,             0.03056,           0.0090266,           0.0090266,           0.0090266
                  66,             0.10043,             0.11159,             0.02466,             0.44313,             0.32053,             0.32548,             0.17118,            0.096429,             0.11099,            0.030295,           0.0089972,           0.0089972,           0.0089972
                  67,             0.10031,             0.11179,            0.024838,             0.43715,             0.33406,             0.32534,             0.17141,            0.096467,             0.11101,            0.030234,           0.0089673,           0.0089673,           0.0089673
                  68,             0.10041,             0.11271,            0.024508,             0.42855,             0.33436,             0.32337,             0.16892,            0.096423,             0.11092,            0.030283,           0.0089371,           0.0089371,           0.0089371
                  69,             0.10015,             0.11259,            0.024577,             0.41532,             0.33843,             0.32506,              0.1693,            0.096398,             0.11085,             0.03031,           0.0089065,           0.0089065,           0.0089065
                  70,             0.10017,             0.11206,            0.024575,             0.45793,             0.31823,             0.32321,             0.16954,            0.096441,             0.11118,            0.030351,           0.0088755,           0.0088755,           0.0088755
                  71,             0.09962,             0.11116,            0.024532,             0.43811,             0.33496,             0.32719,              0.1733,            0.096414,             0.11099,            0.030405,           0.0088442,           0.0088442,           0.0088442
                  72,            0.099703,              0.1119,            0.024298,             0.46161,             0.32378,             0.32773,              0.1736,            0.096345,              0.1109,            0.030256,           0.0088124,           0.0088124,           0.0088124
                  73,             0.10013,              0.1131,            0.024439,             0.43715,             0.33074,             0.32583,             0.17124,            0.096382,             0.11098,            0.030328,           0.0087804,           0.0087804,           0.0087804
                  74,            0.099831,             0.11296,             0.02452,             0.43646,             0.33401,             0.32569,             0.17154,            0.096348,             0.11109,             0.03034,           0.0087479,           0.0087479,           0.0087479
                  75,             0.09984,             0.11189,            0.024275,               0.453,             0.32413,             0.32641,             0.17123,            0.096333,              0.1111,            0.030333,           0.0087151,           0.0087151,           0.0087151
                  76,            0.099749,             0.11027,            0.024423,             0.42651,             0.34004,             0.32798,             0.17219,            0.096302,             0.11123,             0.03032,            0.008682,            0.008682,            0.008682
                  77,            0.099862,             0.11105,            0.024296,             0.41164,             0.34287,             0.32453,             0.17027,            0.096289,             0.11125,            0.030177,           0.0086485,           0.0086485,           0.0086485
                  78,            0.099899,             0.11172,            0.024174,             0.45842,             0.32149,             0.32684,             0.17118,            0.096229,             0.11104,            0.030217,           0.0086146,           0.0086146,           0.0086146
