               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,             0.10526,             0.11687,            0.028898,             0.31011,             0.27093,             0.24172,             0.11863,             0.10013,             0.11294,            0.033157,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10543,             0.11896,            0.028855,             0.30422,             0.28469,             0.24457,             0.11803,             0.10008,             0.11262,            0.032896,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10496,             0.11745,            0.028576,             0.31315,             0.27352,             0.24192,             0.11734,             0.10008,             0.11271,            0.033003,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10514,             0.11884,            0.028801,             0.35949,             0.25446,             0.24609,             0.11987,            0.099919,             0.11257,            0.032749,           0.0093971,           0.0093971,           0.0093971
                  52,             0.10482,             0.11717,            0.028507,             0.32536,             0.27293,             0.24544,             0.11884,             0.09989,             0.11264,            0.032786,           0.0093733,           0.0093733,           0.0093733
                  53,             0.10508,             0.11833,            0.028381,             0.30186,             0.28699,             0.24305,             0.11733,            0.099913,             0.11244,            0.033044,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10495,             0.11874,            0.028533,             0.36201,             0.26191,             0.24614,             0.11956,            0.099845,             0.11249,            0.032818,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10495,             0.11793,            0.028483,             0.31813,             0.28573,             0.24531,             0.11986,            0.099876,             0.11241,            0.032861,           0.0092995,           0.0092995,           0.0092995
                  56,             0.10489,             0.11827,             0.02842,             0.34254,             0.26721,             0.24725,             0.12113,            0.099811,             0.11268,            0.032601,            0.009274,            0.009274,            0.009274
                  57,             0.10523,              0.1179,            0.028506,             0.36045,             0.26609,              0.2517,             0.12336,             0.09974,             0.11255,            0.032847,           0.0092481,           0.0092481,           0.0092481
                  58,             0.10454,             0.11743,            0.028327,             0.30604,             0.29271,             0.25195,             0.12314,            0.099668,             0.11248,            0.032669,           0.0092219,           0.0092219,           0.0092219
                  59,             0.10463,             0.11844,            0.028179,              0.3617,             0.26763,             0.25289,             0.12267,            0.099643,             0.11253,            0.032562,           0.0091952,           0.0091952,           0.0091952
                  60,             0.10461,             0.11811,            0.028251,             0.34252,             0.26759,              0.2522,             0.12375,            0.099607,             0.11264,            0.032637,           0.0091681,           0.0091681,           0.0091681
                  61,             0.10471,             0.11853,            0.028184,             0.34392,             0.27227,             0.25222,             0.12493,            0.099541,             0.11256,            0.032601,           0.0091406,           0.0091406,           0.0091406
                  62,             0.10435,             0.11746,            0.028012,             0.36875,             0.26787,             0.25459,             0.12486,            0.099518,              0.1125,            0.032458,           0.0091127,           0.0091127,           0.0091127
                  63,             0.10448,             0.11689,            0.028082,             0.34067,             0.28313,             0.25301,             0.12431,            0.099516,             0.11244,            0.032558,           0.0090844,           0.0090844,           0.0090844
                  64,             0.10441,              0.1166,            0.027925,             0.30761,             0.30145,             0.25509,             0.12354,             0.09948,             0.11216,            0.032497,           0.0090557,           0.0090557,           0.0090557
                  65,             0.10439,             0.11649,            0.028104,             0.34741,                0.28,             0.25461,              0.1264,            0.099491,             0.11244,              0.0325,           0.0090266,           0.0090266,           0.0090266
                  66,             0.10427,             0.11706,            0.028016,             0.34748,             0.27363,             0.25453,              0.1253,             0.09938,             0.11229,            0.032408,           0.0089972,           0.0089972,           0.0089972
                  67,             0.10476,              0.1182,            0.028038,              0.3419,             0.28213,             0.25744,              0.1268,            0.099363,             0.11225,            0.032421,           0.0089673,           0.0089673,           0.0089673
                  68,             0.10449,             0.11707,            0.028021,             0.37923,             0.26488,             0.25571,             0.12605,            0.099397,             0.11247,            0.032545,           0.0089371,           0.0089371,           0.0089371
                  69,             0.10468,             0.11842,            0.027928,             0.35931,             0.27849,             0.25899,             0.12731,            0.099294,             0.11218,            0.032361,           0.0089065,           0.0089065,           0.0089065
                  70,             0.10403,             0.11676,            0.027858,             0.36573,             0.27473,             0.25953,             0.12798,            0.099302,              0.1123,            0.032276,           0.0088755,           0.0088755,           0.0088755
                  71,             0.10429,             0.11708,            0.027937,             0.37117,             0.27556,             0.26034,             0.12906,             0.09922,             0.11226,            0.032283,           0.0088442,           0.0088442,           0.0088442
                  72,             0.10417,             0.11621,            0.027936,             0.34068,             0.28996,             0.25918,             0.12846,            0.099219,             0.11227,            0.032278,           0.0088124,           0.0088124,           0.0088124
                  73,             0.10427,             0.11747,            0.027715,             0.35082,             0.28556,             0.26113,             0.12919,            0.099129,             0.11237,            0.032237,           0.0087804,           0.0087804,           0.0087804
                  74,             0.10387,             0.11617,            0.027916,             0.39467,             0.27164,             0.26289,             0.13054,            0.099126,             0.11216,             0.03213,           0.0087479,           0.0087479,           0.0087479
                  75,             0.10401,             0.11541,            0.027659,             0.38302,             0.27669,             0.26471,             0.13145,            0.099065,             0.11226,            0.032115,           0.0087151,           0.0087151,           0.0087151
                  76,             0.10424,             0.11749,            0.027684,             0.36217,             0.28578,             0.26371,             0.13091,            0.099092,             0.11229,            0.032217,            0.008682,            0.008682,            0.008682
                  77,             0.10415,             0.11662,            0.027724,             0.34885,             0.29701,             0.26731,             0.13189,            0.099065,             0.11214,            0.032099,           0.0086485,           0.0086485,           0.0086485
                  78,             0.10387,             0.11616,            0.027601,             0.38384,             0.27769,              0.2645,             0.13156,            0.099065,             0.11211,            0.032142,           0.0086146,           0.0086146,           0.0086146
                  79,              0.1042,              0.1168,            0.027792,             0.38562,             0.27745,             0.26603,             0.13253,            0.099052,             0.11212,            0.032162,           0.0085805,           0.0085805,           0.0085805
                  80,             0.10409,             0.11575,            0.027786,             0.37902,             0.27945,             0.26683,             0.13235,            0.099042,             0.11219,            0.032058,           0.0085459,           0.0085459,           0.0085459
                  81,             0.10372,             0.11715,            0.027659,             0.37242,             0.28091,             0.26504,             0.13214,            0.098969,             0.11203,            0.032087,           0.0085111,           0.0085111,           0.0085111
                  82,             0.10405,             0.11755,            0.027371,             0.38515,             0.27997,             0.26815,             0.13327,            0.098944,             0.11196,            0.031993,           0.0084759,           0.0084759,           0.0084759
                  83,             0.10442,             0.11729,            0.027533,             0.35866,              0.2919,              0.2691,             0.13416,            0.098952,             0.11202,             0.03201,           0.0084404,           0.0084404,           0.0084404
                  84,             0.10426,             0.11612,            0.027568,             0.37746,             0.28344,             0.26921,             0.13433,            0.098928,             0.11188,            0.031971,           0.0084046,           0.0084046,           0.0084046
                  85,             0.10402,             0.11608,            0.027433,             0.40446,             0.27143,             0.26825,               0.134,            0.098922,             0.11207,            0.031976,           0.0083684,           0.0083684,           0.0083684
                  86,             0.10381,             0.11779,            0.027279,             0.37365,             0.28355,             0.26873,             0.13442,             0.09892,             0.11218,            0.032007,           0.0083319,           0.0083319,           0.0083319
                  87,             0.10417,             0.11722,            0.027422,             0.37252,             0.29102,             0.27085,             0.13426,            0.098883,             0.11211,            0.032016,           0.0082952,           0.0082952,           0.0082952
                  88,             0.10384,             0.11572,            0.027273,             0.38252,             0.28736,             0.27079,             0.13527,            0.098841,             0.11198,            0.032004,           0.0082581,           0.0082581,           0.0082581
                  89,             0.10381,             0.11749,            0.027385,             0.36157,             0.29393,              0.2693,             0.13456,            0.098827,             0.11199,            0.032001,           0.0082207,           0.0082207,           0.0082207
                  90,             0.10369,              0.1152,            0.027193,             0.37207,             0.29007,             0.26977,             0.13485,            0.098822,             0.11199,            0.031977,            0.008183,            0.008183,            0.008183
                  91,             0.10374,             0.11646,            0.027205,             0.37361,             0.28816,             0.26999,             0.13485,            0.098807,               0.112,            0.031969,            0.008145,            0.008145,            0.008145
                  92,             0.10374,              0.1167,            0.027339,             0.37165,             0.29019,             0.27002,             0.13503,            0.098768,             0.11204,            0.031972,           0.0081068,           0.0081068,           0.0081068
                  93,             0.10372,             0.11712,            0.027223,             0.38698,             0.28208,             0.26977,             0.13449,            0.098743,              0.1119,            0.031923,           0.0080682,           0.0080682,           0.0080682
