               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.097528,             0.10903,            0.023197,             0.44772,             0.36576,             0.35324,              0.1909,            0.095028,             0.11044,            0.029718,           0.0093971,           0.0093971,           0.0093971
                  52,            0.097794,             0.10863,            0.023363,             0.46296,             0.35736,             0.35709,               0.193,            0.094945,             0.11011,             0.02977,           0.0093733,           0.0093733,           0.0093733
                  53,            0.097772,             0.10839,            0.023324,             0.48195,             0.36058,             0.36327,             0.19741,            0.094896,             0.11034,             0.02961,           0.0093491,           0.0093491,           0.0093491
                  54,            0.097659,             0.10909,            0.023267,             0.48292,             0.35558,             0.36049,             0.19572,            0.095002,             0.11032,            0.029659,           0.0093245,           0.0093245,           0.0093245
                  55,            0.097468,             0.10926,            0.023112,             0.47121,             0.35407,             0.35455,             0.19324,            0.094904,              0.1104,            0.029696,           0.0092995,           0.0092995,           0.0092995
                  56,            0.097348,             0.10807,            0.023202,             0.48677,              0.3566,             0.36429,             0.19932,            0.094874,             0.11034,            0.029534,            0.009274,            0.009274,            0.009274
                  57,              0.0975,             0.10985,            0.023041,             0.50327,             0.34799,              0.3616,             0.19676,            0.094828,             0.11013,            0.029643,           0.0092481,           0.0092481,           0.0092481
                  58,            0.097739,             0.10975,            0.022899,             0.50655,             0.34982,             0.36354,             0.19779,            0.094809,             0.11051,            0.029587,           0.0092219,           0.0092219,           0.0092219
                  59,            0.097349,             0.10875,            0.022862,             0.49502,             0.35203,             0.36292,              0.1987,            0.094782,             0.11063,            0.029443,           0.0091952,           0.0091952,           0.0091952
                  60,            0.097584,             0.10965,            0.022938,             0.49118,             0.35457,             0.36249,             0.19777,            0.094684,             0.11053,            0.029537,           0.0091681,           0.0091681,           0.0091681
                  61,            0.097294,             0.10771,            0.022888,              0.4638,             0.36998,             0.35931,              0.1962,            0.094796,             0.11046,            0.029664,           0.0091406,           0.0091406,           0.0091406
                  62,            0.097166,             0.10969,            0.022732,             0.48136,             0.37116,             0.36721,             0.20143,            0.094779,             0.11054,            0.029507,           0.0091127,           0.0091127,           0.0091127
                  63,            0.097594,             0.10961,            0.022723,             0.47041,             0.37104,             0.36555,             0.20108,            0.094709,             0.11045,            0.029663,           0.0090844,           0.0090844,           0.0090844
                  64,            0.096947,             0.10823,            0.022793,             0.48991,             0.36012,             0.36569,             0.20064,            0.094644,              0.1105,            0.029543,           0.0090557,           0.0090557,           0.0090557
                  65,            0.097278,             0.10816,            0.022762,               0.477,              0.3697,             0.36538,             0.20025,            0.094703,             0.11061,            0.029505,           0.0090266,           0.0090266,           0.0090266
                  66,            0.097576,             0.10807,            0.022611,             0.46623,              0.3753,             0.36635,             0.20071,            0.094656,             0.11063,            0.029576,           0.0089972,           0.0089972,           0.0089972
                  67,            0.097165,              0.1095,            0.022707,             0.47084,             0.37023,             0.36599,             0.20143,            0.094603,              0.1102,            0.029557,           0.0089673,           0.0089673,           0.0089673
                  68,            0.097185,             0.10837,            0.022557,             0.50557,             0.35177,             0.36673,             0.20225,            0.094592,             0.11048,            0.029523,           0.0089371,           0.0089371,           0.0089371
                  69,            0.096758,             0.10816,            0.022411,             0.48727,             0.36648,             0.36888,             0.20375,             0.09457,             0.11039,            0.029543,           0.0089065,           0.0089065,           0.0089065
                  70,            0.097323,             0.10818,            0.022611,              0.4637,             0.38447,             0.37114,             0.20446,            0.094479,             0.11041,            0.029325,           0.0088755,           0.0088755,           0.0088755
                  71,            0.096814,             0.10679,            0.022375,             0.49778,             0.36657,             0.37081,             0.20298,            0.094431,             0.11017,            0.029397,           0.0088442,           0.0088442,           0.0088442
                  72,            0.096743,             0.10774,            0.022312,             0.48723,             0.36984,             0.36842,             0.20395,            0.094495,             0.11061,            0.029452,           0.0088124,           0.0088124,           0.0088124
                  73,            0.096408,             0.10623,            0.022265,             0.52747,              0.3515,             0.36979,             0.20406,            0.094475,             0.11037,            0.029359,           0.0087804,           0.0087804,           0.0087804
                  74,             0.09685,             0.10812,            0.022164,             0.47657,             0.37936,             0.37197,             0.20477,            0.094407,             0.11044,            0.029318,           0.0087479,           0.0087479,           0.0087479
                  75,            0.096808,             0.10823,             0.02214,              0.4935,             0.36713,             0.37012,             0.20347,            0.094417,             0.11057,            0.029364,           0.0087151,           0.0087151,           0.0087151
                  76,              0.0965,             0.10572,            0.022053,             0.52958,             0.35282,             0.37277,             0.20532,            0.094448,             0.11061,            0.029373,            0.008682,            0.008682,            0.008682
                  77,            0.096431,             0.10758,            0.021968,             0.48618,             0.37463,             0.37288,             0.20656,            0.094411,             0.11057,            0.029365,           0.0086485,           0.0086485,           0.0086485
                  78,            0.096033,             0.10558,            0.021957,             0.47292,             0.38428,             0.37163,             0.20506,            0.094415,             0.11074,            0.029376,           0.0086146,           0.0086146,           0.0086146
                  79,            0.096525,             0.10844,            0.021991,             0.47198,             0.38021,             0.37443,             0.20654,             0.09434,             0.11059,            0.029368,           0.0085805,           0.0085805,           0.0085805
                  80,            0.096784,             0.10803,            0.022102,             0.47578,              0.3835,             0.37348,             0.20546,            0.094319,             0.11046,            0.029372,           0.0085459,           0.0085459,           0.0085459
                  81,            0.096347,             0.10642,            0.021882,             0.49713,             0.36968,             0.37372,             0.20656,            0.094293,             0.11054,            0.029423,           0.0085111,           0.0085111,           0.0085111
                  82,             0.09658,             0.10727,            0.021887,             0.48743,             0.37139,             0.37215,              0.2061,            0.094299,             0.11078,            0.029408,           0.0084759,           0.0084759,           0.0084759
                  83,            0.096151,             0.10641,            0.021811,             0.50266,             0.36906,             0.37339,             0.20593,            0.094261,             0.11072,            0.029366,           0.0084404,           0.0084404,           0.0084404
                  84,            0.096452,             0.10628,            0.021907,             0.48421,             0.37922,             0.37506,             0.20751,            0.094245,             0.11048,            0.029367,           0.0084046,           0.0084046,           0.0084046
